#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
5.123592,6,0.637722
4.955561,6,0.681944
5.99145,7,0.732176
12.874174,14,0.837062
7.750537,9,0.906005
4.190015,5,0.945559
5.247054,6,0.989098
4.931291,6,1.041009
6.123592,7,1.093115
7.91369,9,1.166762
4.782515,6,1.211304
9.108053,12,1.30567
12.382662,15,1.483541
4.144444,5,1.526599
6.912051,8,1.594387
4.122274,5,1.629961
7.209121,8,1.694919
8.771503,11,1.794767
3.271012,4,1.824398
3.9113,5,1.866216
4.153197,5,1.908486
6.894452,8,1.971625
7.415979,9,2.042302
4.950415,6,2.096857
11.062702,14,2.210267
3.3085,4,2.244202
10.92011,13,2.344991
12.872896,14,2.453368
10.782187,13,2.55377
7.349495,9,2.623636
7.765519,9,2.687649
7.03104,8,2.74963
6.047463,7,2.809997
4.957644,6,2.864484
5.760885,7,2.920937
6.225165,7,2.979541
12.128772,16,3.127171
6.266741,7,3.186302
4.191499,5,3.231566
5.194982,6,3.277814
5.094542,6,3.326203
7.896149,9,3.405452
5.236077,6,3.449274
7.176225,8,3.51458
5.01248,6,3.615901
11.255815,13,3.722665
6.924864,8,3.791186
7.750335,9,3.857912
3.992977,5,3.897759
6.04037,7,3.949185
6.719244,8,4.016873
4.291637,5,4.055495
4.966855,6,4.105569
6.900044,8,4.167996
5.815221,7,4.227063
11.333333,12,4.325781
4.984703,6,4.380292
5.233423,6,4.425733
8.347913,10,4.512152
3.874925,5,4.553733
7.659096,9,4.636073
6.814595,8,4.698589
7.180524,8,4.761679
10.188218,12,4.862425
4.997499,6,4.914413
5.250285,6,4.966374
4.830231,6,5.013854
5.773635,7,5.076975
4.01386,5,5.117113
11.39748,14,5.238806
7.097082,8,5.302163
4.109232,5,5.34016
7.681797,9,5.421304
3.207037,4,5.451288
8.356848,11,5.552129
7.086591,8,5.615599
10.296851,14,5.728924
4.132123,5,5.769451
12.328457,14,5.880143
10.712642,12,5.981471
8.149819,9,6.057723
4.906057,6,6.105344
7.211613,8,6.168864
4.984703,6,6.227651
7.030723,8,6.292692
6.296847,8,6.360662
6.007298,7,6.419086
6.757832,8,6.493606
3.984703,5,6.539141
8.094533,9,6.615327
8.001933,10,6.69948
12.234047,14,6.83264
7.206925,8,6.902387
5.792015,7,6.963544
5.978987,7,7.019489
12.374186,14,7.134735
5.958852,7,7.193992
4.990608,6,7.248255
4.401481,5,7.285463
5.947389,7,7.341006
3.373704,4,7.375944
10.268573,12,7.466384
10.666682,12,7.570104
9.873512,11,7.661252
8.242953,10,7.748834
8.684892,10,7.826149
11.873006,14,7.937354
6.813366,8,8.003006
4.205375,5,8.048344
8.015763,9,8.124011
4.26248,5,8.1618
11.141497,13,8.269092
11.713715,13,8.386975
6.21413,7,8.446861
6.200252,7,8.497746
5.925977,7,8.565408
13.828457,16,8.700701
7.327779,9,8.772991
6.844272,8,8.838755
13.71729,16,8.97707
12.024762,16,9.111741
11.529938,14,9.236345
5.210213,6,9.282585
3.261116,4,9.316571
3.227778,4,9.348978
4.031205,5,9.389006
5.201209,6,9.433696
7.021089,8,9.499505
7.079317,8,9.571694
4.311321,5,9.607117
8.681871,11,9.697523
4.135787,5,9.740566
6.052411,7,9.7979
13.356234,15,9.910316
13.745123,15,10.041648
10.259828,12,10.140524
4.291637,5,10.180915
11.746108,14,10.313537
7.619593,9,10.392252
7.18769,8,10.454125
7.944865,9,10.531378
7.291543,8,10.596012
5.139426,6,10.64701
5.108009,6,10.697172
6.861262,8,10.768154
5.207864,6,10.81489
11.202264,12,10.918618
4.100482,5,10.963226
5.169609,6,11.015752
13.706229,15,11.139568
13.689568,16,11.301886
5.267168,6,11.352666
4.133058,5,11.394821
4.951209,6,11.447463
12.9196,15,11.57721
5.097188,6,11.623452
6.744633,8,11.690498
7.291621,8,11.792278
6.98563,8,11.862031
6.197267,7,11.922656
3.318148,4,11.952952
12.245123,14,12.0707
6.972759,8,12.13389
7.914091,9,12.21131
7.028315,8,12.276669
9.056956,11,12.373714
3.194444,4,12.404699
4.207749,5,12.452651
7.229618,8,12.520086
5.210213,6,12.567974
6.232197,7,12.633276
7.211613,8,12.699993
3.151481,4,12.734217
4.319415,5,12.773909
5.161563,6,12.821901
4.248121,5,12.862994
11.361113,12,12.966125
7.984607,9,13.043985
6.643701,8,13.114513
8.969646,10,13.201515
6.822724,8,13.270211
6.230413,7,13.328411
12.884012,14,13.444489
7.631303,9,13.526455
10.965727,14,13.648224
5.248121,6,13.69875
7.267168,8,13.762405
5.141832,6,13.812931
6.9197,8,13.885327
6.205654,7,13.940111
4.416667,5,13.975808
11.749703,16,14.119958
13.835347,15,14.242031
3.057453,4,14.273175
11.83626,14,14.387009
6.156057,7,14.451684
7.23939,8,14.517483
8.072036,9,14.590575
6.198019,7,14.651812
5.231985,6,14.696345
13.939568,16,14.834155
12.586277,15,14.960376
11.954221,13,15.077564
7.022834,8,15.140446
10.816047,14,15.256422
3.331454,4,15.29073
6.300074,7,15.351243
11.638936,12,15.447872
7.050612,8,15.510492
7.718276,9,15.579466
7.23939,8,15.644408
3.380339,4,15.677867
12.364053,14,15.808889
11.299708,13,15.922931
6.014519,7,15.979549
5.275899,6,16.02486
11.058869,14,16.152552
4.192565,5,16.189872
7.072724,8,16.255395
4.1881,5,16.300026
7.291637,8,16.365987
7.23939,8,16.431295
8.607489,10,16.504462
6.843707,8,16.574549
