#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
12.717345,14,0.715435
5.01248,6,0.76027
5.123127,6,0.804704
3.354346,4,0.833393
3.225167,4,0.864497
7.824562,9,0.93886
4.136799,5,0.976493
5.219356,6,1.020765
8.595931,10,1.098073
6.364856,8,1.156113
10.896986,12,1.248123
12.235949,14,1.362486
12.123086,15,1.711899
6.762756,8,1.848654
10.742636,15,2.079006
5.989625,7,2.209338
6.710662,8,2.351022
5.01248,6,2.472634
5.099245,6,2.556016
10.232375,12,2.764786
5.027881,6,2.891209
5.977988,7,2.980497
11.583599,15,3.258328
8.790239,10,3.44841
5.177876,6,3.536058
4.772316,6,3.658577
8.299815,10,3.809179
12.695818,16,4.097808
8.255606,10,4.298408
6.910363,8,4.452195
4.331454,5,4.539111
5.234703,6,4.631139
4.140218,5,4.751175
8.900904,10,4.906581
3.255556,4,4.975905
4.319415,5,5.06052
6.917204,8,5.205991
4.941499,6,5.331133
4.868507,6,5.416752
3.364056,4,5.494974
10.213518,14,5.784298
4.015769,5,5.866177
7.89815,10,6.075584
8.682623,11,6.250782
4.978946,6,6.37939
6.169489,7,6.509484
12.444456,14,6.743736
9.425021,12,6.962264
6.898172,8,7.105439
4.040258,5,7.183912
11.485822,13,7.474829
13.250392,15,7.736713
5.674652,7,7.879729
5.929054,7,8.0195
5.817492,7,8.15411
8.690172,11,8.323144
6.071007,7,8.460221
7.747053,9,8.609583
7.236079,8,8.75434
10.498712,12,8.981495
12.037608,14,9.25249
5.13701,6,9.337978
6.906057,8,9.480591
6.181528,7,9.614245
4.933835,6,9.746541
7.301331,9,9.906885
13.300679,15,10.217612
13.41179,15,10.462147
5.123592,6,10.588928
12.59578,15,10.859285
5.210213,6,10.960697
6.831375,8,11.103269
4.116667,5,11.231965
7.201841,8,11.37423
5.270667,6,11.499498
4.283369,5,11.578003
4.179147,5,11.671141
4.895653,6,11.793724
11.174487,12,12.013825
6.831044,8,12.154322
5.957041,7,12.284123
6.211613,7,12.378176
7.292455,8,12.521396
