#{"t_start": 1764373449.274129, "env_id": "merge-v0"}
r,l,t
5.882291,7,0.586576
12.465457,14,0.695939
4.262593,5,0.737347
5.180432,6,0.784828
10.144306,13,0.890157
11.057178,12,0.983379
5.233423,6,1.026391
5.053054,6,1.0696
7.156057,8,1.132432
8.41033,10,1.212686
4.159901,5,1.249283
4.012387,5,1.289429
4.066765,5,1.333323
6.878279,8,1.444224
5.052453,6,1.490943
7.196038,9,1.57485
10.228986,12,1.671429
10.562885,13,1.788144
7.003425,8,1.845396
3.29879,4,1.874866
3.388889,4,1.911509
3.373704,4,1.948245
4.194444,5,1.991054
4.956924,6,2.038592
3.382123,4,2.073705
6.778298,8,2.139692
3.994633,5,2.187168
9.266485,11,2.281317
3.140786,4,2.311926
4.179147,5,2.34714
7.677999,9,2.413227
4.925386,6,2.46618
12.42039,14,2.580313
4.878279,6,2.631353
7.123592,8,2.695155
8.477064,10,2.780682
4.044926,5,2.818058
6.055556,7,2.872198
4.050452,5,2.915555
11.609684,15,3.031983
6.250537,7,3.095605
6.125973,7,3.155615
7.992268,9,3.229262
7.345237,9,3.30127
3.902102,5,3.340949
10.281963,12,3.433092
5.028315,6,3.48448
9.23414,11,3.572783
4.050189,5,3.61266
7.836275,9,3.675969
4.097193,5,3.714547
3.130339,4,3.744533
6.694626,8,3.811298
7.863021,11,3.903007
5.250537,6,3.950353
14.39118,16,4.099114
5.179147,6,4.154117
13.009731,15,4.272865
4.123695,5,4.317343
4.10861,5,4.362504
5.827895,7,4.419722
5.219276,6,4.465977
7.744076,9,4.544551
7.717158,9,4.619904
3.234815,4,4.650513
13.595118,15,4.768474
7.995582,10,4.846122
7.748121,9,4.921437
5.247351,6,4.973008
5.151486,6,5.016117
4.114056,5,5.06098
10.278764,12,5.156777
6.927876,8,5.230109
4.984703,6,5.276361
9.543669,11,5.36654
3.197389,4,5.396705
3.277778,4,5.426296
12.312315,14,5.545002
8.070106,9,5.617404
5.859201,7,5.675137
7.211613,8,5.742336
4.05261,5,5.783668
4.01248,5,5.826759
4.167509,5,5.86598
6.062161,7,5.9194
3.277778,4,5.954538
8.821288,10,6.035613
8.625486,11,6.131823
6.577516,8,6.197642
7.132344,9,6.275246
4.422222,5,6.31191
6.011209,7,6.366037
4.132123,5,6.410507
6.906905,8,6.474625
7.208288,8,6.539893
6.747426,8,6.607046
12.244162,15,6.736503
4.826989,6,6.787036
9.078815,11,6.882075
4.194444,5,6.925894
11.047438,14,7.049383
4.77859,6,7.098197
3.9113,5,7.13941
11.155539,15,7.26412
10.697551,13,7.375511
6.56095,8,7.450401
6.780707,8,7.512969
11.446391,12,7.609448
6.027778,7,7.665704
5.006764,6,7.711919
7.007396,8,7.780965
3.373704,4,7.816631
14.04086,16,7.977731
4.100386,5,8.017844
12.666677,14,8.146931
6.835947,8,8.220193
5.01621,6,8.269328
3.288987,4,8.304622
3.152749,4,8.334646
3.416667,4,8.371513
6.913493,8,8.444447
6.061154,7,8.496928
3.848061,5,8.535493
3.277778,4,8.56894
6.913721,8,8.634609
8.588145,10,8.7184
4.169612,5,8.766788
12.910829,16,8.896533
6.739748,8,8.966664
5.90375,7,9.025602
4.891502,6,9.074608
13.439567,15,9.236545
5.96696,7,9.289991
7.069399,8,9.355983
7.23939,8,9.426896
9.747497,11,9.517945
11.474169,12,9.619319
5.123592,6,9.674112
4.124971,5,9.719647
6.797041,8,9.793465
3.222222,4,9.826476
7.754812,9,9.900833
7.727386,9,9.969646
9.718486,12,10.070662
14.555938,16,10.209687
11.223256,13,10.324373
6.083505,7,10.382643
7.831454,9,10.455085
3.338889,4,10.486625
5.12685,6,10.535657
7.012584,8,10.618209
3.361111,4,10.649129
5.677576,7,10.712064
7.208288,8,10.780357
3.444444,4,10.816594
4.15129,5,10.860184
3.338889,4,10.89043
7.800491,9,10.964744
6.022296,7,11.020584
4.053054,5,11.060171
6.930299,8,11.131319
13.078448,15,11.259202
8.616962,10,11.343594
10.661534,12,11.452362
8.539755,10,11.538442
6.792223,9,11.612268
6.448014,8,11.680398
6.04051,7,11.743605
12.444503,14,11.878893
7.674024,9,11.960319
5.001622,6,12.006503
3.370605,4,12.040416
4.150905,5,12.080739
6.180522,7,12.140674
4.985947,6,12.196079
11.398383,12,12.294014
5.055574,6,12.339103
6.243235,7,12.393271
11.315657,13,12.504935
8.114532,9,12.579296
7.775893,9,12.66261
8.552022,10,12.751461
6.975154,8,12.813449
6.425331,8,12.878729
3.394444,4,12.913552
4.989231,6,12.966894
10.432762,13,13.074315
6.121086,7,13.133296
4.20944,5,13.180311
7.123591,8,13.242687
7.584788,9,13.319641
3.999871,5,13.35749
4.66668,6,13.408198
6.198019,7,13.47104
3.197389,4,13.500597
5.248116,6,13.544779
3.29037,4,13.581388
10.910772,13,13.696585
12.292245,15,13.835435
12.60722,15,13.952239
7.072724,8,14.019022
6.662838,8,14.082184
7.343767,9,14.15967
13.067055,15,14.288896
3.109232,4,14.321004
4.271012,5,14.356094
10.986224,13,14.464588
10.624737,12,14.559291
6.118424,7,14.61988
13.550669,15,14.735708
7.324538,9,14.812002
6.039219,7,14.861735
5.803187,7,14.923673
8.512387,10,15.003306
5.250537,6,15.0472
7.208288,8,15.111126
6.705599,8,15.177165
5.183157,6,15.221119
6.819962,8,15.28456
5.976191,7,15.341663
5.983431,7,15.396148
7.201841,8,15.460734
5.989367,7,15.522559
4.210213,5,15.565081
5.299172,6,15.614075
5.188126,6,15.657439
7.128279,8,15.724659
5.361112,6,15.773565
7.6693,9,15.845612
11.353308,14,15.970611
7.072724,8,16.034172
7.211613,8,16.096776
4.906057,6,16.148862
3.159901,4,16.180406
6.930086,8,16.247486
4.222191,5,16.288296
5.242889,6,16.33764
6.748752,8,16.409051
4.333333,5,16.453374
5.14486,6,16.496204
13.086277,16,16.631469
10.306541,12,16.730825
7.192565,8,16.795371
3.34445,4,16.829542
7.002943,8,16.893026
6.90009,8,16.964789
6.086278,7,17.019202
5.923699,7,17.073431
4.180526,5,17.120317
4.136388,5,17.16259
5.984159,7,17.220896
10.103151,13,17.332958
3.303676,4,17.368658
10.482702,12,17.46519
4.182436,5,17.50865
4.247488,5,17.555208
3.354346,4,17.590309
6.271023,7,17.648294
4.3085,5,17.686888
7.521679,9,17.765138
4.12688,5,17.807785
6.36484,8,17.86926
7.594541,9,17.948076
10.896986,12,18.04515
8.928663,10,18.127602
4.067571,5,18.168528
6.162942,7,18.227382
8.096747,9,18.299535
6.241908,7,18.360725
3.345926,4,18.394922
4.336278,5,18.432452
6.681058,8,18.50136
11.00782,12,18.605864
3.29037,4,18.639722
8.867833,10,18.721047
8.31753,10,18.808434
11.285598,12,18.915643
5.91237,7,18.976019
12.097824,14,19.08733
5.930526,7,19.14557
6.943197,8,19.220646
6.634353,8,19.293557
11.063375,12,19.399288
7.072724,8,19.466867
10.730551,13,19.578942
11.475164,13,19.691518
4.224169,5,19.735063
5.008036,6,19.789212
5.900905,7,19.849613
6.768089,8,19.918423
13.050679,14,20.030354
12.735234,17,20.187515
13.845109,16,20.335888
10.584321,12,20.435585
6.969356,8,20.49878
5.083871,6,20.545408
6.933835,8,20.612098
7.257396,8,20.673659
12.454991,15,20.799229
7.194371,9,20.869293
6.129181,7,20.926562
7.09073,8,20.990507
5.191499,6,21.036095
4.068148,5,21.079127
10.18661,13,21.192041
7.100501,8,21.258742
